Descritor,Modelo,Mean Accuracy,Mean f1-score,ACC Fold 1,ACC Fold 2,ACC Fold 3,ACC Fold 4,ACC Fold 5,F1 Fold 1,F1 Fold 2,F1 Fold 3,F1 Fold 4,F1 Fold 5
f-recplot,CNN,0.995652173913,0.995650118,0.9782608695652174,1.0, 1.0, 1.0, 1.0,0.9782505910165484,1.0,1.0,1.0,1.0
f-classical,CNN,0.9867631111,0.9867,1.0,1.0,0.9782608695652174,1.0,0.95555555555556,1.0,1.0,0.9705910, 1.0, 0.955555556
