Descritor,Modelo,Mean Accuracy,Mean f1-score,ACC Fold 1,ACC Fold 2,ACC Fold 3,ACC Fold 4,ACC Fold 5,F1 Fold 1,F1 Fold 2,F1 Fold 3,F1 Fold 4,F1 Fold 5
f-recplot,RF,0.9735265700483092,0.9734837114339836,1.0,0.9565217391304348,1.0,0.9333333333333333,0.9777777777777777,1.0,0.956439393939394,1.0,0.9332013854527461,0.9777777777777777
f-recplot,SVM,0.9515942028985507,0.951544053142487,0.9347826086956522,0.9565217391304348,1.0,0.8888888888888888,0.9777777777777777,0.9347517730496454,0.9565217391304348,1.0,0.8886689757545769,0.9777777777777777
f-recplot,RNA,0.854975845410628,0.8510538941562469,0.7391304347826086,0.9565217391304348,0.9347826086956522,0.7333333333333333,0.9111111111111111,0.7371428571428571,0.9565217391304348,0.9345040341718083,0.7163865546218487,0.9107142857142857
f-classical,RF,0.9514975845410628,0.9513615175577076,0.9347826086956522,0.9782608695652174,1.0,0.8666666666666667,0.9777777777777777,0.9347517730496454,0.9782505910165484,1.0,0.8660714285714286,0.9777337951509153
f-classical,SVM,0.8990338164251208,0.8983894607362531,0.8695652173913043,0.9565217391304348,0.8913043478260869,0.8,0.9777777777777777,0.8693181818181819,0.956439393939394,0.8900047824007652,0.7984071677451469,0.9777777777777777
f-classical,RNA,0.9692753623188406,0.9692283922850475,0.9782608695652174,0.9565217391304348,0.9782608695652174,0.9333333333333333,1.0,0.9782505910165484,0.956439393939394,0.9782505910165484,0.9332013854527461,1.0
